,rt_score,rt_avg_rating,rt_audience_score,rt_user_rating,rt_avg_aud_rating,rt_fresh,rt_rotten
2157,12%,1/10,37%,"5,434",2.6/5,21,151
2158,0,0,0,0,0,0,0
2159,,,28%,160,2.2/5,0,0
2160,0,0,0,0,0,0,0
2161,0,0,0,0,0,0,0
2162,11%,3/10,48%,"27,376",3/5,21,165
2163,15%,7/10,43%,"324,383",3.1/5,32,176
2164,0,0,0,0,0,0,0
2165,,,42%,"7,512",3.1/5,0,0
2166,,,24%,403,2.3/5,0,0
2167,7%,2/10,20%,"2,124",1.7/5,5,66
2168,92%,3/10,69%,"5,542",3.5/5,23,2
2169,0%,6/10,50%,45,2.9/5,0,16
2170,19%,7/10,16%,698,1.9/5,5,22
2171,11%,8/10,36%,"121,711",2.8/5,23,179
2172,11%,4/10,16%,274,1.9/5,5,40
2173,4%,2/10,24%,"35,457",2.1/5,3,80
2174,13%,7/10,29%,81,2.7/5,1,7
2175,0,0,0,0,0,0,0
2176,0,0,0,0,0,0,0
2177,9%,5/10,14%,603,1.6/5,2,21
2178,0,0,0,0,0,0,0
2179,27%,5/10,45%,"759,048",3.1/5,57,153
2180,12%,6/10,24%,"53,974",2.4/5,8,61
2181,13%,1/10,44%,41,2.9/5,1,7
2182,0,0,0,0,0,0,0
2183,,,26%,499,2.3/5,0,0
2184,23%,3/10,36%,"56,818",2.3/5,12,41
2185,17%,4/10,26%,"3,532",2.6/5,1,5
2186,0%,3/10,32%,"3,167",2.5/5,0,35
2187,5%,3/10,10%,136,1.5/5,1,20
2188,32%,5/10,23%,524,2.3/5,24,50
2189,,,52%,378,2.8/5,0,0
2190,16%,2/10,56%,"19,972",3.2/5,7,38
2191,0,0,0,0,0,0,0
2192,0,0,0,0,0,0,0
2193,,,27%,96,2.8/5,0,0
2194,20%,5/10,22%,"7,132",2.3/5,16,64
2195,10%,5/10,8%,"1,682",1.2/5,1,9
2196,0,0,0,0,0,0,0
2197,1%,8/10,19%,"128,802",2.2/5,1,72
2198,23%,5/10,34%,"4,554",2.7/5,13,44
2199,0%,6/10,33%,865,2.5/5,0,34
2200,62%,1/10,89%,"17,861",4.4/5,213,133
2201,96%,9/10,76%,"3,436",3.9/5,315,14
2202,90%,1/10,80%,"15,993",4.1/5,403,45
2203,81%,4/10,95%,"3,724",4.4/5,215,52
2204,0,0,0,0,0,0,0
2205,81%,7/10,94%,"2,269",4.6/5,40,9
2206,85%,6/10,91%,"51,037",4.5/5,349,63
2207,98%,2/10,0,"47,367",0,50,1
2208,70%,9/10,95%,322,4.7/5,7,3
2209,94%,6/10,94%,"1,830,714",4.4/5,312,20
2210,91%,2/10,98%,"884,696",4.4/5,61,6
2211,71%,7/10,85%,"173,373",4.1/5,243,97
2212,91%,4/10,86%,"21,574",4.2/5,333,33
2213,86%,1/10,91%,"569,017",4.2/5,298,47
2214,94%,1/10,96%,"1,125,719",4.2/5,78,5
2215,0,0,0,0,0,0,0
2216,88%,8/10,87%,"127,446",4.1/5,295,42
2217,82%,4/10,94%,"355,343",4/5,79,17
2218,98%,3/10,98%,"732,022",4.4/5,86,2
2219,98%,7/10,93%,987,4.5/5,106,2
2220,72%,2/10,95%,"1,243,857",4.1/5,66,26
2221,95%,2/10,96%,"825,430",4.1/5,71,4
2222,91%,2/10,95%,"1,355,431",4.1/5,208,20
2223,87%,2/10,81%,"58,211",4.1/5,344,51
2224,84%,7/10,88%,"18,357",4.2/5,144,27
2225,99%,8/10,90%,"1,149",4.3/5,177,2
2226,0,0,0,0,0,0,0
2227,0,0,0,0,0,0,0
2228,96%,3/10,89%,"390,605",4.3/5,307,13
2229,87%,8/10,90%,"1,210,158",4.3/5,307,47
2230,98%,3/10,95%,"1,304",4.7/5,112,2
2231,88%,6/10,85%,"33,323,891",3.6/5,126,18
2232,75%,7/10,93%,"45,065",4.3/5,91,31
2233,0,0,0,0,0,0,0
2234,97%,9/10,97%,"410,783",4.3/5,90,3
2235,91%,2/10,94%,"736,787",4.1/5,249,26
2236,88%,8/10,87%,"774,411",4/5,279,37
2237,91%,8/10,92%,"253,206",4.4/5,279,27
2238,0,0,0,0,0,0,0
2239,91%,3/10,91%,"1,069,586",3.6/5,112,11
2240,93%,9/10,90%,"90,900",4.3/5,350,26
2241,93%,7/10,86%,"34,679,279",3.7/5,252,18
2242,96%,7/10,95%,"845,930",4.1/5,85,4
2243,0,0,0,0,0,0,0
2244,95%,6/10,91%,"635,858",4.1/5,217,12
2245,97%,6/10,85%,"126,497",4.2/5,382,13
2246,84%,7/10,90%,"186,128",4.3/5,267,52
2247,91%,8/10,91%,"130,662",4.3/5,318,31
2248,96%,9/10,97%,"428,343",4.3/5,87,4
2249,,,87%,113,4.1/5,0,0
2250,30%,2/10,Average Rating:,591,N/A,6,14
2251,0,0,0,0,0,0,0
2252,25%,2/10,41%,"83,492",2.9/5,67,199
2253,60%,2/10,82%,"6,797",3.6/5,3,2
2254,20%,2/10,17%,"1,241",1.8/5,3,12
2255,0,0,0,0,0,0,0
2256,6%,4/10,26%,"6,229",2.3/5,2,33
2257,12%,1/10,37%,"5,434",2.6/5,21,151
2258,0,0,0,0,0,0,0
2259,,,28%,160,2.2/5,0,0
2260,0,0,0,0,0,0,0
2261,0,0,0,0,0,0,0
2262,11%,3/10,48%,"27,376",3/5,21,165
2263,15%,7/10,43%,"324,383",3.1/5,32,176
2264,0,0,0,0,0,0,0
2265,,,42%,"7,512",3.1/5,0,0
2266,,,24%,403,2.3/5,0,0
2267,7%,2/10,20%,"2,124",1.7/5,5,66
2268,92%,3/10,69%,"5,542",3.5/5,23,2
2269,0%,6/10,50%,45,2.9/5,0,16
2270,19%,7/10,16%,698,1.9/5,5,22
2271,11%,8/10,36%,"121,711",2.8/5,23,179
2272,11%,4/10,16%,274,1.9/5,5,40
2273,4%,2/10,24%,"35,457",2.1/5,3,80
2274,13%,7/10,29%,81,2.7/5,1,7
2275,0,0,0,0,0,0,0
2276,0,0,0,0,0,0,0
2277,9%,5/10,14%,603,1.6/5,2,21
2278,0,0,0,0,0,0,0
2279,27%,5/10,45%,"759,048",3.1/5,57,153
2280,12%,6/10,24%,"53,974",2.4/5,8,61
2281,13%,1/10,44%,41,2.9/5,1,7
2282,0,0,0,0,0,0,0
2283,,,26%,499,2.3/5,0,0
2284,23%,3/10,36%,"56,818",2.3/5,12,41
2285,17%,4/10,26%,"3,532",2.6/5,1,5
2286,0%,3/10,32%,"3,167",2.5/5,0,35
2287,5%,3/10,10%,136,1.5/5,1,20
2288,32%,5/10,23%,524,2.3/5,24,50
2289,,,52%,378,2.8/5,0,0
2290,16%,2/10,56%,"19,972",3.2/5,7,38
2291,0,0,0,0,0,0,0
2292,0,0,0,0,0,0,0
2293,,,27%,96,2.8/5,0,0
2294,20%,5/10,22%,"7,132",2.3/5,16,64
2295,10%,5/10,8%,"1,682",1.2/5,1,9
2296,0,0,0,0,0,0,0
2297,1%,8/10,19%,"128,802",2.2/5,1,72
2298,23%,5/10,34%,"4,554",2.7/5,13,44
2299,0%,6/10,33%,865,2.5/5,0,34
2300,62%,1/10,89%,"17,861",4.4/5,213,133
2301,96%,9/10,76%,"3,436",3.9/5,315,14
2302,90%,1/10,80%,"15,993",4.1/5,403,45
2303,81%,4/10,95%,"3,724",4.4/5,215,52
2304,0,0,0,0,0,0,0
2305,81%,7/10,94%,"2,269",4.6/5,40,9
2306,85%,6/10,91%,"51,037",4.5/5,349,63
2307,98%,2/10,0,"47,367",0,50,1
2308,70%,9/10,95%,322,4.7/5,7,3
2309,94%,6/10,94%,"1,830,714",4.4/5,312,20
2310,91%,2/10,98%,"884,696",4.4/5,61,6
2311,71%,7/10,85%,"173,373",4.1/5,243,97
2312,91%,4/10,86%,"21,574",4.2/5,333,33
2313,86%,1/10,91%,"569,017",4.2/5,298,47
2314,94%,1/10,96%,"1,125,719",4.2/5,78,5
2315,0,0,0,0,0,0,0
2316,88%,8/10,87%,"127,446",4.1/5,295,42
2317,82%,4/10,94%,"355,343",4/5,79,17
2318,98%,3/10,98%,"732,022",4.4/5,86,2
2319,98%,7/10,93%,987,4.5/5,106,2
2320,72%,2/10,95%,"1,243,857",4.1/5,66,26
2321,95%,2/10,96%,"825,430",4.1/5,71,4
2322,91%,2/10,95%,"1,355,431",4.1/5,208,20
2323,87%,2/10,81%,"58,211",4.1/5,344,51
2324,84%,7/10,88%,"18,357",4.2/5,144,27
2325,99%,8/10,90%,"1,149",4.3/5,177,2
2326,0,0,0,0,0,0,0
2327,0,0,0,0,0,0,0
2328,96%,3/10,89%,"390,605",4.3/5,307,13
2329,87%,8/10,90%,"1,210,158",4.3/5,307,47
2330,98%,3/10,95%,"1,304",4.7/5,112,2
2331,88%,6/10,85%,"33,323,891",3.6/5,126,18
2332,75%,7/10,93%,"45,065",4.3/5,91,31
2333,0,0,0,0,0,0,0
2334,97%,9/10,97%,"410,783",4.3/5,90,3
2335,91%,2/10,94%,"736,787",4.1/5,249,26
2336,88%,8/10,87%,"774,411",4/5,279,37
2337,91%,8/10,92%,"253,206",4.4/5,279,27
2338,0,0,0,0,0,0,0
2339,91%,3/10,91%,"1,069,586",3.6/5,112,11
2340,93%,9/10,90%,"90,900",4.3/5,350,26
2341,93%,7/10,86%,"34,679,279",3.7/5,252,18
2342,96%,7/10,95%,"845,930",4.1/5,85,4
2343,0,0,0,0,0,0,0
2344,95%,6/10,91%,"635,858",4.1/5,217,12
2345,97%,6/10,85%,"126,497",4.2/5,382,13
2346,84%,7/10,90%,"186,128",4.3/5,267,52
2347,91%,8/10,91%,"130,662",4.3/5,318,31
2348,96%,9/10,97%,"428,343",4.3/5,87,4
2349,,,87%,113,4.1/5,0,0
2350,30%,2/10,Average Rating:,591,N/A,6,14
2351,0,0,0,0,0,0,0
2352,25%,2/10,41%,"83,492",2.9/5,67,199
2353,60%,2/10,82%,"6,797",3.6/5,3,2
2354,20%,2/10,17%,"1,241",1.8/5,3,12
2355,0,0,0,0,0,0,0
2356,6%,4/10,26%,"6,229",2.3/5,2,33
2357,12%,1/10,37%,"5,434",2.6/5,21,151
2358,0,0,0,0,0,0,0
2359,,,28%,160,2.2/5,0,0
2360,0,0,0,0,0,0,0
2361,0,0,0,0,0,0,0
2362,11%,3/10,48%,"27,376",3/5,21,165
2363,15%,7/10,43%,"324,383",3.1/5,32,176
2364,0,0,0,0,0,0,0
2365,,,42%,"7,512",3.1/5,0,0
2366,,,24%,403,2.3/5,0,0
2367,7%,2/10,20%,"2,124",1.7/5,5,66
2368,92%,3/10,69%,"5,542",3.5/5,23,2
2369,0%,6/10,50%,45,2.9/5,0,16
2370,19%,7/10,16%,698,1.9/5,5,22
2371,11%,8/10,36%,"121,711",2.8/5,23,179
2372,11%,4/10,16%,274,1.9/5,5,40
2373,4%,2/10,24%,"35,457",2.1/5,3,80
2374,13%,7/10,29%,81,2.7/5,1,7
2375,0,0,0,0,0,0,0
2376,0,0,0,0,0,0,0
2377,9%,5/10,14%,603,1.6/5,2,21
2378,0,0,0,0,0,0,0
2379,27%,5/10,45%,"759,048",3.1/5,57,153
2380,12%,6/10,24%,"53,974",2.4/5,8,61
2381,13%,1/10,44%,41,2.9/5,1,7
2382,0,0,0,0,0,0,0
2383,,,26%,499,2.3/5,0,0
2384,23%,3/10,36%,"56,818",2.3/5,12,41
2385,17%,4/10,26%,"3,532",2.6/5,1,5
2386,0%,3/10,32%,"3,167",2.5/5,0,35
2387,5%,3/10,10%,136,1.5/5,1,20
2388,32%,5/10,23%,524,2.3/5,24,50
2389,,,52%,378,2.8/5,0,0
2390,16%,2/10,56%,"19,972",3.2/5,7,38
2391,0,0,0,0,0,0,0
2392,0,0,0,0,0,0,0
2393,,,27%,96,2.8/5,0,0
2394,20%,5/10,22%,"7,132",2.3/5,16,64
2395,10%,5/10,8%,"1,682",1.2/5,1,9
2396,0,0,0,0,0,0,0
2397,1%,8/10,19%,"128,802",2.2/5,1,72
2398,23%,5/10,34%,"4,554",2.7/5,13,44
2399,0%,6/10,33%,865,2.5/5,0,34
2400,62%,1/10,89%,"17,861",4.4/5,213,133
2401,96%,9/10,76%,"3,436",3.9/5,315,14
2402,90%,1/10,80%,"15,993",4.1/5,403,45
2403,81%,4/10,95%,"3,724",4.4/5,215,52
2404,0,0,0,0,0,0,0
2405,81%,7/10,94%,"2,269",4.6/5,40,9
2406,85%,6/10,91%,"51,037",4.5/5,349,63
2407,98%,2/10,0,"47,367",0,50,1
2408,70%,9/10,95%,322,4.7/5,7,3
2409,94%,6/10,94%,"1,830,714",4.4/5,312,20
2410,91%,2/10,98%,"884,696",4.4/5,61,6
2411,71%,7/10,85%,"173,373",4.1/5,243,97
2412,91%,4/10,86%,"21,574",4.2/5,333,33
2413,86%,1/10,91%,"569,017",4.2/5,298,47
2414,94%,1/10,96%,"1,125,719",4.2/5,78,5
2415,0,0,0,0,0,0,0
2416,88%,8/10,87%,"127,446",4.1/5,295,42
2417,82%,4/10,94%,"355,343",4/5,79,17
2418,98%,3/10,98%,"732,022",4.4/5,86,2
2419,98%,7/10,93%,987,4.5/5,106,2
2420,72%,2/10,95%,"1,243,857",4.1/5,66,26
2421,95%,2/10,96%,"825,430",4.1/5,71,4
2422,91%,2/10,95%,"1,355,431",4.1/5,208,20
2423,87%,2/10,81%,"58,211",4.1/5,344,51
2424,84%,7/10,88%,"18,357",4.2/5,144,27
2425,99%,8/10,90%,"1,149",4.3/5,177,2
2426,0,0,0,0,0,0,0
2427,0,0,0,0,0,0,0
2428,96%,3/10,89%,"390,605",4.3/5,307,13
2429,87%,8/10,90%,"1,210,158",4.3/5,307,47
2430,98%,3/10,95%,"1,304",4.7/5,112,2
2431,88%,6/10,85%,"33,323,891",3.6/5,126,18
2432,75%,7/10,93%,"45,065",4.3/5,91,31
2433,0,0,0,0,0,0,0
2434,97%,9/10,97%,"410,783",4.3/5,90,3
2435,91%,2/10,94%,"736,787",4.1/5,249,26
2436,88%,8/10,87%,"774,411",4/5,279,37
2437,91%,8/10,92%,"253,206",4.4/5,279,27
2438,0,0,0,0,0,0,0
2439,91%,3/10,91%,"1,069,586",3.6/5,112,11
2440,93%,9/10,90%,"90,900",4.3/5,350,26
2441,93%,7/10,86%,"34,679,279",3.7/5,252,18
2442,96%,7/10,95%,"845,930",4.1/5,85,4
2443,0,0,0,0,0,0,0
2444,95%,6/10,91%,"635,858",4.1/5,217,12
2445,97%,6/10,85%,"126,497",4.2/5,382,13
2446,84%,7/10,90%,"186,128",4.3/5,267,52
2447,91%,8/10,91%,"130,662",4.3/5,318,31
2448,96%,9/10,97%,"428,343",4.3/5,87,4
2449,,,87%,113,4.1/5,0,0
2450,30%,2/10,Average Rating:,591,N/A,6,14
2451,0,0,0,0,0,0,0
2452,25%,2/10,41%,"83,492",2.9/5,67,199
2453,60%,2/10,82%,"6,797",3.6/5,3,2
2454,20%,2/10,17%,"1,241",1.8/5,3,12
2455,0,0,0,0,0,0,0
2456,6%,4/10,26%,"6,229",2.3/5,2,33
2457,12%,1/10,37%,"5,434",2.6/5,21,151
2458,0,0,0,0,0,0,0
2459,,,28%,160,2.2/5,0,0
2460,0,0,0,0,0,0,0
2461,0,0,0,0,0,0,0
2462,11%,3/10,48%,"27,376",3/5,21,165
2463,15%,7/10,43%,"324,383",3.1/5,32,176
2464,0,0,0,0,0,0,0
2465,,,42%,"7,512",3.1/5,0,0
2466,,,24%,403,2.3/5,0,0
2467,7%,2/10,20%,"2,124",1.7/5,5,66
2468,92%,3/10,69%,"5,542",3.5/5,23,2
2469,0%,6/10,50%,45,2.9/5,0,16
2470,19%,7/10,16%,698,1.9/5,5,22
2471,11%,8/10,36%,"121,711",2.8/5,23,179
2472,11%,4/10,16%,274,1.9/5,5,40
2473,4%,2/10,24%,"35,457",2.1/5,3,80
2474,13%,7/10,29%,81,2.7/5,1,7
2475,0,0,0,0,0,0,0
2476,0,0,0,0,0,0,0
2477,9%,5/10,14%,603,1.6/5,2,21
2478,0,0,0,0,0,0,0
2479,27%,5/10,45%,"759,048",3.1/5,57,153
2480,12%,6/10,24%,"53,974",2.4/5,8,61
2481,13%,1/10,44%,41,2.9/5,1,7
2482,0,0,0,0,0,0,0
2483,,,26%,499,2.3/5,0,0
2484,23%,3/10,36%,"56,818",2.3/5,12,41
2485,17%,4/10,26%,"3,532",2.6/5,1,5
2486,0%,3/10,32%,"3,167",2.5/5,0,35
2487,5%,3/10,10%,136,1.5/5,1,20
2488,32%,5/10,23%,524,2.3/5,24,50
2489,,,52%,378,2.8/5,0,0
2490,16%,2/10,56%,"19,972",3.2/5,7,38
2491,0,0,0,0,0,0,0
2492,0,0,0,0,0,0,0
2493,,,27%,96,2.8/5,0,0
2494,20%,5/10,22%,"7,132",2.3/5,16,64
2495,10%,5/10,8%,"1,682",1.2/5,1,9
2496,0,0,0,0,0,0,0
2497,1%,8/10,19%,"128,802",2.2/5,1,72
2498,23%,5/10,34%,"4,554",2.7/5,13,44
2499,0%,6/10,33%,865,2.5/5,0,34
2500,62%,1/10,89%,"17,861",4.4/5,213,133
2501,96%,9/10,76%,"3,436",3.9/5,315,14
2502,90%,1/10,80%,"15,993",4.1/5,403,45
2503,81%,4/10,95%,"3,724",4.4/5,215,52
2504,0,0,0,0,0,0,0
2505,81%,7/10,94%,"2,269",4.6/5,40,9
2506,85%,6/10,91%,"51,037",4.5/5,349,63
2507,98%,2/10,0,"47,367",0,50,1
2508,70%,9/10,95%,322,4.7/5,7,3
2509,94%,6/10,94%,"1,830,714",4.4/5,312,20
2510,91%,2/10,98%,"884,696",4.4/5,61,6
2511,71%,7/10,85%,"173,373",4.1/5,243,97
2512,91%,4/10,86%,"21,574",4.2/5,333,33
2513,86%,1/10,91%,"569,017",4.2/5,298,47
2514,94%,1/10,96%,"1,125,719",4.2/5,78,5
2515,0,0,0,0,0,0,0
2516,88%,8/10,87%,"127,446",4.1/5,295,42
2517,82%,4/10,94%,"355,343",4/5,79,17
2518,98%,3/10,98%,"732,022",4.4/5,86,2
2519,98%,7/10,93%,987,4.5/5,106,2
2520,72%,2/10,95%,"1,243,857",4.1/5,66,26
2521,95%,2/10,96%,"825,430",4.1/5,71,4
2522,91%,2/10,95%,"1,355,431",4.1/5,208,20
2523,87%,2/10,81%,"58,211",4.1/5,344,51
2524,84%,7/10,88%,"18,357",4.2/5,144,27
2525,99%,8/10,90%,"1,149",4.3/5,177,2
2526,0,0,0,0,0,0,0
2527,0,0,0,0,0,0,0
2528,96%,3/10,89%,"390,605",4.3/5,307,13
2529,87%,8/10,90%,"1,210,158",4.3/5,307,47
2530,98%,3/10,95%,"1,304",4.7/5,112,2
2531,88%,6/10,85%,"33,323,891",3.6/5,126,18
2532,75%,7/10,93%,"45,065",4.3/5,91,31
2533,0,0,0,0,0,0,0
2534,97%,9/10,97%,"410,783",4.3/5,90,3
2535,91%,2/10,94%,"736,787",4.1/5,249,26
2536,88%,8/10,87%,"774,411",4/5,279,37
2537,91%,8/10,92%,"253,206",4.4/5,279,27
2538,0,0,0,0,0,0,0
2539,91%,3/10,91%,"1,069,586",3.6/5,112,11
2540,93%,9/10,90%,"90,900",4.3/5,350,26
2541,93%,7/10,86%,"34,679,279",3.7/5,252,18
2542,96%,7/10,95%,"845,930",4.1/5,85,4
2543,0,0,0,0,0,0,0
2544,95%,6/10,91%,"635,858",4.1/5,217,12
2545,97%,6/10,85%,"126,497",4.2/5,382,13
2546,84%,7/10,90%,"186,128",4.3/5,267,52
2547,91%,8/10,91%,"130,662",4.3/5,318,31
2548,96%,9/10,97%,"428,343",4.3/5,87,4
2549,,,87%,113,4.1/5,0,0
2550,30%,2/10,Average Rating:,591,N/A,6,14
2551,0,0,0,0,0,0,0
2552,25%,2/10,41%,"83,492",2.9/5,67,199
2553,60%,2/10,82%,"6,797",3.6/5,3,2
2554,20%,2/10,17%,"1,241",1.8/5,3,12
2555,0,0,0,0,0,0,0
2556,6%,4/10,26%,"6,229",2.3/5,2,33
2557,12%,1/10,37%,"5,434",2.6/5,21,151
2558,0,0,0,0,0,0,0
2559,,,28%,160,2.2/5,0,0
2560,0,0,0,0,0,0,0
2561,0,0,0,0,0,0,0
2562,11%,3/10,48%,"27,376",3/5,21,165
2563,15%,7/10,43%,"324,383",3.1/5,32,176
2564,0,0,0,0,0,0,0
2565,,,42%,"7,512",3.1/5,0,0
2566,,,24%,403,2.3/5,0,0
2567,7%,2/10,20%,"2,124",1.7/5,5,66
2568,92%,3/10,69%,"5,542",3.5/5,23,2
2569,0%,6/10,50%,45,2.9/5,0,16
2570,19%,7/10,16%,698,1.9/5,5,22
2571,11%,8/10,36%,"121,711",2.8/5,23,179
2572,11%,4/10,16%,274,1.9/5,5,40
2573,4%,2/10,24%,"35,457",2.1/5,3,80
2574,13%,7/10,29%,81,2.7/5,1,7
2575,0,0,0,0,0,0,0
2576,0,0,0,0,0,0,0
2577,9%,5/10,14%,603,1.6/5,2,21
2578,0,0,0,0,0,0,0
2579,27%,5/10,45%,"759,048",3.1/5,57,153
2580,12%,6/10,24%,"53,974",2.4/5,8,61
2581,13%,1/10,44%,41,2.9/5,1,7
2582,0,0,0,0,0,0,0
2583,,,26%,499,2.3/5,0,0
2584,23%,3/10,36%,"56,818",2.3/5,12,41
2585,17%,4/10,26%,"3,532",2.6/5,1,5
2586,0%,3/10,32%,"3,167",2.5/5,0,35
2587,5%,3/10,10%,136,1.5/5,1,20
2588,32%,5/10,23%,524,2.3/5,24,50
2589,,,52%,378,2.8/5,0,0
2590,16%,2/10,56%,"19,972",3.2/5,7,38
2591,0,0,0,0,0,0,0
2592,0,0,0,0,0,0,0
2593,,,27%,96,2.8/5,0,0
2594,20%,5/10,22%,"7,132",2.3/5,16,64
2595,10%,5/10,8%,"1,682",1.2/5,1,9
2596,0,0,0,0,0,0,0
2597,1%,8/10,19%,"128,802",2.2/5,1,72
2598,23%,5/10,34%,"4,554",2.7/5,13,44
2599,0%,6/10,33%,865,2.5/5,0,34
2600,62%,1/10,89%,"17,861",4.4/5,213,133
2601,96%,9/10,76%,"3,436",3.9/5,315,14
2602,90%,1/10,80%,"15,993",4.1/5,403,45
2603,81%,4/10,95%,"3,724",4.4/5,215,52
2604,0,0,0,0,0,0,0
2605,81%,7/10,94%,"2,269",4.6/5,40,9
2606,85%,6/10,91%,"51,037",4.5/5,349,63
2607,98%,2/10,0,"47,367",0,50,1
2608,70%,9/10,95%,322,4.7/5,7,3
2609,94%,6/10,94%,"1,830,714",4.4/5,312,20
2610,91%,2/10,98%,"884,696",4.4/5,61,6
2611,71%,7/10,85%,"173,373",4.1/5,243,97
2612,91%,4/10,86%,"21,574",4.2/5,333,33
2613,86%,1/10,91%,"569,017",4.2/5,298,47
2614,94%,1/10,96%,"1,125,719",4.2/5,78,5
2615,0,0,0,0,0,0,0
2616,88%,8/10,87%,"127,446",4.1/5,295,42
2617,82%,4/10,94%,"355,343",4/5,79,17
2618,98%,3/10,98%,"732,022",4.4/5,86,2
2619,98%,7/10,93%,987,4.5/5,106,2
2620,72%,2/10,95%,"1,243,857",4.1/5,66,26
2621,95%,2/10,96%,"825,430",4.1/5,71,4
2622,91%,2/10,95%,"1,355,431",4.1/5,208,20
2623,87%,2/10,81%,"58,211",4.1/5,344,51
2624,84%,7/10,88%,"18,357",4.2/5,144,27
2625,99%,8/10,90%,"1,149",4.3/5,177,2
2626,0,0,0,0,0,0,0
2627,0,0,0,0,0,0,0
2628,96%,3/10,89%,"390,605",4.3/5,307,13
2629,87%,8/10,90%,"1,210,158",4.3/5,307,47
2630,98%,3/10,95%,"1,304",4.7/5,112,2
2631,88%,6/10,85%,"33,323,891",3.6/5,126,18
2632,75%,7/10,93%,"45,065",4.3/5,91,31
2633,0,0,0,0,0,0,0
2634,97%,9/10,97%,"410,783",4.3/5,90,3
2635,91%,2/10,94%,"736,787",4.1/5,249,26
2636,88%,8/10,87%,"774,411",4/5,279,37
2637,91%,8/10,92%,"253,206",4.4/5,279,27
2638,0,0,0,0,0,0,0
2639,91%,3/10,91%,"1,069,586",3.6/5,112,11
2640,93%,9/10,90%,"90,900",4.3/5,350,26
2641,93%,7/10,86%,"34,679,279",3.7/5,252,18
2642,96%,7/10,95%,"845,930",4.1/5,85,4
2643,0,0,0,0,0,0,0
2644,95%,6/10,91%,"635,858",4.1/5,217,12
2645,97%,6/10,85%,"126,497",4.2/5,382,13
2646,84%,7/10,90%,"186,128",4.3/5,267,52
2647,91%,8/10,91%,"130,662",4.3/5,318,31
2648,96%,9/10,97%,"428,343",4.3/5,87,4
2649,,,87%,113,4.1/5,0,0
2650,30%,2/10,Average Rating:,591,N/A,6,14
2651,0,0,0,0,0,0,0
2652,25%,2/10,41%,"83,492",2.9/5,67,199
2653,60%,2/10,82%,"6,797",3.6/5,3,2
2654,20%,2/10,17%,"1,241",1.8/5,3,12
2655,0,0,0,0,0,0,0
2656,6%,4/10,26%,"6,229",2.3/5,2,33
2657,12%,1/10,37%,"5,434",2.6/5,21,151
2658,0,0,0,0,0,0,0
2659,,,28%,160,2.2/5,0,0
2660,0,0,0,0,0,0,0
2661,0,0,0,0,0,0,0
2662,11%,3/10,48%,"27,376",3/5,21,165
2663,15%,7/10,43%,"324,383",3.1/5,32,176
2664,0,0,0,0,0,0,0
2665,,,42%,"7,512",3.1/5,0,0
2666,,,24%,403,2.3/5,0,0
2667,7%,2/10,20%,"2,124",1.7/5,5,66
2668,92%,3/10,69%,"5,542",3.5/5,23,2
2669,0%,6/10,50%,45,2.9/5,0,16
2670,19%,7/10,16%,698,1.9/5,5,22
2671,11%,8/10,36%,"121,711",2.8/5,23,179
2672,11%,4/10,16%,274,1.9/5,5,40
2673,4%,2/10,24%,"35,457",2.1/5,3,80
2674,13%,7/10,29%,81,2.7/5,1,7
2675,0,0,0,0,0,0,0
2676,0,0,0,0,0,0,0
2677,9%,5/10,14%,603,1.6/5,2,21
2678,0,0,0,0,0,0,0
2679,27%,5/10,45%,"759,048",3.1/5,57,153
2680,12%,6/10,24%,"53,974",2.4/5,8,61
2681,13%,1/10,44%,41,2.9/5,1,7
2682,0,0,0,0,0,0,0
2683,,,26%,499,2.3/5,0,0
2684,23%,3/10,36%,"56,818",2.3/5,12,41
2685,17%,4/10,26%,"3,532",2.6/5,1,5
2686,0%,3/10,32%,"3,167",2.5/5,0,35
2687,5%,3/10,10%,136,1.5/5,1,20
2688,32%,5/10,23%,524,2.3/5,24,50
2689,,,52%,378,2.8/5,0,0
2690,16%,2/10,56%,"19,972",3.2/5,7,38
2691,0,0,0,0,0,0,0
2692,0,0,0,0,0,0,0
2693,,,27%,96,2.8/5,0,0
2694,20%,5/10,22%,"7,132",2.3/5,16,64
2695,10%,5/10,8%,"1,682",1.2/5,1,9
2696,0,0,0,0,0,0,0
2697,1%,8/10,19%,"128,802",2.2/5,1,72
2698,23%,5/10,34%,"4,554",2.7/5,13,44
2699,0%,6/10,33%,865,2.5/5,0,34
2700,62%,1/10,89%,"17,861",4.4/5,213,133
2701,96%,9/10,76%,"3,436",3.9/5,315,14
2702,90%,1/10,80%,"15,993",4.1/5,403,45
2703,81%,4/10,95%,"3,724",4.4/5,215,52
2704,0,0,0,0,0,0,0
2705,81%,7/10,94%,"2,269",4.6/5,40,9
2706,85%,6/10,91%,"51,037",4.5/5,349,63
2707,98%,2/10,0,"47,367",0,50,1
2708,70%,9/10,95%,322,4.7/5,7,3
2709,94%,6/10,94%,"1,830,714",4.4/5,312,20
2710,91%,2/10,98%,"884,696",4.4/5,61,6
2711,71%,7/10,85%,"173,373",4.1/5,243,97
2712,91%,4/10,86%,"21,574",4.2/5,333,33
2713,86%,1/10,91%,"569,017",4.2/5,298,47
2714,94%,1/10,96%,"1,125,719",4.2/5,78,5
2715,0,0,0,0,0,0,0
