,rt_score,rt_avg_rating,rt_audience_score,rt_user_rating,rt_avg_aud_rating,rt_fresh,rt_rotten
1265,,,42%,"7,512",3.1/5,0,0
1266,,,24%,403,2.3/5,0,0
1267,7%,2/10,20%,"2,124",1.7/5,5,66
1268,92%,3/10,69%,"5,542",3.5/5,23,2
1269,0%,6/10,50%,45,2.9/5,0,16
1270,19%,7/10,16%,698,1.9/5,5,22
1271,11%,8/10,36%,"121,711",2.8/5,23,179
1272,11%,4/10,16%,274,1.9/5,5,40
1273,4%,2/10,24%,"35,457",2.1/5,3,80
1274,13%,7/10,29%,81,2.7/5,1,7
1275,0,0,0,0,0,0,0
1276,0,0,0,0,0,0,0
1277,9%,5/10,14%,603,1.6/5,2,21
1278,0,0,0,0,0,0,0
1279,27%,5/10,45%,"759,048",3.1/5,57,153
1280,12%,6/10,24%,"53,974",2.4/5,8,61
1281,13%,1/10,44%,41,2.9/5,1,7
1282,0,0,0,0,0,0,0
1283,,,26%,499,2.3/5,0,0
1284,23%,3/10,36%,"56,818",2.3/5,12,41
1285,17%,4/10,26%,"3,532",2.6/5,1,5
1286,0%,3/10,32%,"3,167",2.5/5,0,35
1287,5%,3/10,10%,136,1.5/5,1,20
1288,32%,5/10,23%,524,2.3/5,24,50
1289,,,52%,378,2.8/5,0,0
1290,16%,2/10,56%,"19,972",3.2/5,7,38
1291,0,0,0,0,0,0,0
1292,0,0,0,0,0,0,0
1293,,,27%,96,2.8/5,0,0
1294,20%,5/10,22%,"7,132",2.3/5,16,64
1295,10%,5/10,8%,"1,682",1.2/5,1,9
1296,0,0,0,0,0,0,0
1297,1%,8/10,19%,"128,802",2.2/5,1,72
1298,23%,5/10,34%,"4,554",2.7/5,13,44
1299,0%,6/10,33%,865,2.5/5,0,34
1300,62%,1/10,89%,"17,860",4.4/5,213,133
1301,96%,9/10,76%,"3,435",3.9/5,315,14
1302,90%,1/10,80%,"15,993",4.1/5,403,45
1303,81%,4/10,95%,"3,723",4.4/5,215,52
1304,0,0,0,0,0,0,0
1305,81%,7/10,94%,"2,267",4.6/5,40,9
1306,85%,6/10,91%,"51,037",4.5/5,349,63
1307,98%,2/10,0,"47,367",0,50,1
1308,70%,9/10,95%,322,4.7/5,7,3
1309,94%,6/10,94%,"1,830,714",4.4/5,312,20
1310,91%,2/10,98%,"884,696",4.4/5,61,6
1311,71%,7/10,85%,"173,373",4.1/5,243,97
1312,91%,4/10,86%,"21,574",4.2/5,333,33
1313,86%,1/10,91%,"569,017",4.2/5,298,47
1314,94%,1/10,96%,"1,125,719",4.2/5,78,5
1315,0,0,0,0,0,0,0
1316,88%,8/10,87%,"127,446",4.1/5,295,42
1317,82%,4/10,94%,"355,343",4/5,79,17
1318,98%,3/10,98%,"732,022",4.4/5,86,2
1319,98%,7/10,92%,987,4.5/5,106,2
1320,72%,2/10,95%,"1,243,857",4.1/5,66,26
1321,95%,2/10,96%,"825,430",4.1/5,71,4
1322,91%,2/10,95%,"1,355,431",4.1/5,208,20
1323,87%,2/10,81%,"58,211",4.1/5,344,51
1324,84%,7/10,88%,"18,357",4.2/5,144,27
1325,99%,8/10,90%,"1,149",4.3/5,177,2
1326,0,0,0,0,0,0,0
1327,0,0,0,0,0,0,0
1328,96%,3/10,89%,"390,605",4.3/5,307,13
1329,87%,8/10,90%,"1,210,158",4.3/5,307,47
1330,98%,3/10,95%,"1,304",4.7/5,112,2
1331,88%,6/10,85%,"33,323,891",3.6/5,126,18
1332,75%,7/10,93%,"45,065",4.3/5,91,31
1333,0,0,0,0,0,0,0
1334,97%,9/10,97%,"410,783",4.3/5,90,3
1335,91%,2/10,94%,"736,787",4.1/5,249,26
1336,88%,8/10,87%,"774,411",4/5,279,37
1337,91%,8/10,92%,"253,206",4.4/5,279,27
1338,0,0,0,0,0,0,0
1339,91%,3/10,91%,"1,069,586",3.6/5,112,11
1340,93%,9/10,90%,"90,900",4.3/5,350,26
1341,93%,7/10,86%,"34,679,279",3.7/5,252,18
1342,96%,7/10,95%,"845,930",4.1/5,85,4
1343,0,0,0,0,0,0,0
1344,95%,6/10,91%,"635,858",4.1/5,217,12
1345,97%,6/10,85%,"126,497",4.2/5,382,13
1346,84%,7/10,90%,"186,128",4.3/5,267,52
1347,91%,8/10,91%,"130,662",4.3/5,318,31
1348,96%,9/10,97%,"428,343",4.3/5,87,4
1349,,,87%,113,4.1/5,0,0
1350,30%,2/10,Average Rating:,591,N/A,6,14
1351,0,0,0,0,0,0,0
1352,25%,2/10,41%,"83,492",2.9/5,67,199
1353,60%,2/10,82%,"6,797",3.6/5,3,2
1354,20%,2/10,17%,"1,241",1.8/5,3,12
1355,0,0,0,0,0,0,0
1356,6%,4/10,26%,"6,229",2.3/5,2,33
1357,12%,1/10,37%,"5,434",2.6/5,21,151
1358,0,0,0,0,0,0,0
1359,,,28%,160,2.2/5,0,0
1360,0,0,0,0,0,0,0
1361,0,0,0,0,0,0,0
1362,11%,3/10,48%,"27,376",3/5,21,165
1363,15%,7/10,43%,"324,383",3.1/5,32,176
1364,0,0,0,0,0,0,0
1365,,,42%,"7,512",3.1/5,0,0
1366,,,24%,403,2.3/5,0,0
1367,7%,2/10,20%,"2,124",1.7/5,5,66
1368,92%,3/10,69%,"5,542",3.5/5,23,2
1369,0%,6/10,50%,45,2.9/5,0,16
1370,19%,7/10,16%,698,1.9/5,5,22
1371,11%,8/10,36%,"121,711",2.8/5,23,179
1372,11%,4/10,16%,274,1.9/5,5,40
1373,4%,2/10,24%,"35,457",2.1/5,3,80
1374,13%,7/10,29%,81,2.7/5,1,7
1375,0,0,0,0,0,0,0
1376,0,0,0,0,0,0,0
1377,9%,5/10,14%,603,1.6/5,2,21
1378,0,0,0,0,0,0,0
1379,27%,5/10,45%,"759,048",3.1/5,57,153
1380,12%,6/10,24%,"53,974",2.4/5,8,61
1381,13%,1/10,44%,41,2.9/5,1,7
1382,0,0,0,0,0,0,0
1383,,,26%,499,2.3/5,0,0
1384,23%,3/10,36%,"56,818",2.3/5,12,41
1385,17%,4/10,26%,"3,532",2.6/5,1,5
1386,0%,3/10,32%,"3,167",2.5/5,0,35
1387,5%,3/10,10%,136,1.5/5,1,20
1388,32%,5/10,23%,524,2.3/5,24,50
1389,,,52%,378,2.8/5,0,0
1390,16%,2/10,56%,"19,972",3.2/5,7,38
1391,0,0,0,0,0,0,0
1392,0,0,0,0,0,0,0
1393,,,27%,96,2.8/5,0,0
1394,20%,5/10,22%,"7,132",2.3/5,16,64
1395,10%,5/10,8%,"1,682",1.2/5,1,9
1396,0,0,0,0,0,0,0
1397,1%,8/10,19%,"128,802",2.2/5,1,72
1398,23%,5/10,34%,"4,554",2.7/5,13,44
1399,0%,6/10,33%,865,2.5/5,0,34
1400,62%,1/10,89%,"17,860",4.4/5,213,133
1401,96%,9/10,76%,"3,435",3.9/5,315,14
1402,90%,1/10,80%,"15,993",4.1/5,403,45
1403,81%,4/10,95%,"3,723",4.4/5,215,52
1404,0,0,0,0,0,0,0
1405,81%,7/10,94%,"2,267",4.6/5,40,9
1406,85%,6/10,91%,"51,037",4.5/5,349,63
1407,98%,2/10,0,"47,367",0,50,1
1408,70%,9/10,95%,322,4.7/5,7,3
1409,94%,6/10,94%,"1,830,714",4.4/5,312,20
1410,91%,2/10,98%,"884,696",4.4/5,61,6
1411,71%,7/10,85%,"173,373",4.1/5,243,97
1412,91%,4/10,86%,"21,574",4.2/5,333,33
1413,86%,1/10,91%,"569,017",4.2/5,298,47
1414,94%,1/10,96%,"1,125,719",4.2/5,78,5
1415,0,0,0,0,0,0,0
1416,88%,8/10,87%,"127,446",4.1/5,295,42
1417,82%,4/10,94%,"355,343",4/5,79,17
1418,98%,3/10,98%,"732,022",4.4/5,86,2
1419,98%,7/10,92%,987,4.5/5,106,2
1420,72%,2/10,95%,"1,243,857",4.1/5,66,26
1421,95%,2/10,96%,"825,430",4.1/5,71,4
1422,91%,2/10,95%,"1,355,431",4.1/5,208,20
1423,87%,2/10,81%,"58,211",4.1/5,344,51
1424,84%,7/10,88%,"18,357",4.2/5,144,27
1425,99%,8/10,90%,"1,149",4.3/5,177,2
1426,0,0,0,0,0,0,0
1427,0,0,0,0,0,0,0
1428,96%,3/10,89%,"390,605",4.3/5,307,13
1429,87%,8/10,90%,"1,210,158",4.3/5,307,47
1430,98%,3/10,95%,"1,304",4.7/5,112,2
1431,88%,6/10,85%,"33,323,891",3.6/5,126,18
1432,75%,7/10,93%,"45,065",4.3/5,91,31
1433,0,0,0,0,0,0,0
1434,97%,9/10,97%,"410,783",4.3/5,90,3
1435,91%,2/10,94%,"736,787",4.1/5,249,26
1436,88%,8/10,87%,"774,411",4/5,279,37
1437,91%,8/10,92%,"253,206",4.4/5,279,27
1438,0,0,0,0,0,0,0
1439,91%,3/10,91%,"1,069,586",3.6/5,112,11
1440,93%,9/10,90%,"90,900",4.3/5,350,26
1441,93%,7/10,86%,"34,679,279",3.7/5,252,18
1442,96%,7/10,95%,"845,930",4.1/5,85,4
1443,0,0,0,0,0,0,0
1444,95%,6/10,91%,"635,858",4.1/5,217,12
1445,97%,6/10,85%,"126,497",4.2/5,382,13
1446,84%,7/10,90%,"186,128",4.3/5,267,52
1447,91%,8/10,91%,"130,662",4.3/5,318,31
1448,96%,9/10,97%,"428,343",4.3/5,87,4
1449,,,87%,113,4.1/5,0,0
1450,30%,2/10,Average Rating:,591,N/A,6,14
1451,0,0,0,0,0,0,0
1452,25%,2/10,41%,"83,492",2.9/5,67,199
1453,60%,2/10,82%,"6,797",3.6/5,3,2
1454,20%,2/10,17%,"1,241",1.8/5,3,12
1455,0,0,0,0,0,0,0
1456,6%,4/10,26%,"6,229",2.3/5,2,33
1457,12%,1/10,37%,"5,434",2.6/5,21,151
1458,0,0,0,0,0,0,0
1459,,,28%,160,2.2/5,0,0
1460,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0
1462,11%,3/10,48%,"27,376",3/5,21,165
1463,15%,7/10,43%,"324,383",3.1/5,32,176
1464,0,0,0,0,0,0,0
1465,,,42%,"7,512",3.1/5,0,0
1466,,,24%,403,2.3/5,0,0
1467,7%,2/10,20%,"2,124",1.7/5,5,66
1468,92%,3/10,69%,"5,542",3.5/5,23,2
1469,0%,6/10,50%,45,2.9/5,0,16
1470,19%,7/10,16%,698,1.9/5,5,22
1471,11%,8/10,36%,"121,711",2.8/5,23,179
1472,11%,4/10,16%,274,1.9/5,5,40
1473,4%,2/10,24%,"35,457",2.1/5,3,80
1474,13%,7/10,29%,81,2.7/5,1,7
1475,0,0,0,0,0,0,0
1476,0,0,0,0,0,0,0
1477,9%,5/10,14%,603,1.6/5,2,21
1478,0,0,0,0,0,0,0
1479,27%,5/10,45%,"759,048",3.1/5,57,153
1480,12%,6/10,24%,"53,974",2.4/5,8,61
1481,13%,1/10,44%,41,2.9/5,1,7
1482,0,0,0,0,0,0,0
1483,,,26%,499,2.3/5,0,0
1484,23%,3/10,36%,"56,818",2.3/5,12,41
1485,17%,4/10,26%,"3,532",2.6/5,1,5
1486,0%,3/10,32%,"3,167",2.5/5,0,35
1487,5%,3/10,10%,136,1.5/5,1,20
1488,32%,5/10,23%,524,2.3/5,24,50
1489,,,52%,378,2.8/5,0,0
1490,16%,2/10,56%,"19,972",3.2/5,7,38
1491,0,0,0,0,0,0,0
1492,0,0,0,0,0,0,0
1493,,,27%,96,2.8/5,0,0
1494,20%,5/10,22%,"7,132",2.3/5,16,64
1495,10%,5/10,8%,"1,682",1.2/5,1,9
1496,0,0,0,0,0,0,0
1497,1%,8/10,19%,"128,802",2.2/5,1,72
1498,23%,5/10,34%,"4,554",2.7/5,13,44
1499,0%,6/10,33%,865,2.5/5,0,34
1500,62%,1/10,89%,"17,860",4.4/5,213,133
1501,96%,9/10,76%,"3,435",3.9/5,315,14
1502,90%,1/10,80%,"15,993",4.1/5,403,45
1503,81%,4/10,95%,"3,723",4.4/5,215,52
1504,0,0,0,0,0,0,0
1505,81%,7/10,94%,"2,267",4.6/5,40,9
1506,85%,6/10,91%,"51,037",4.5/5,349,63
1507,98%,2/10,0,"47,367",0,50,1
1508,70%,9/10,95%,322,4.7/5,7,3
1509,94%,6/10,94%,"1,830,714",4.4/5,312,20
1510,91%,2/10,98%,"884,696",4.4/5,61,6
1511,71%,7/10,85%,"173,373",4.1/5,243,97
1512,91%,4/10,86%,"21,574",4.2/5,333,33
1513,86%,1/10,91%,"569,017",4.2/5,298,47
1514,94%,1/10,96%,"1,125,719",4.2/5,78,5
1515,0,0,0,0,0,0,0
1516,88%,8/10,87%,"127,446",4.1/5,295,42
1517,82%,4/10,94%,"355,343",4/5,79,17
1518,98%,3/10,98%,"732,022",4.4/5,86,2
1519,98%,7/10,92%,987,4.5/5,106,2
1520,72%,2/10,95%,"1,243,857",4.1/5,66,26
1521,95%,2/10,96%,"825,430",4.1/5,71,4
1522,91%,2/10,95%,"1,355,431",4.1/5,208,20
1523,87%,2/10,81%,"58,211",4.1/5,344,51
1524,84%,7/10,88%,"18,357",4.2/5,144,27
1525,99%,8/10,90%,"1,149",4.3/5,177,2
1526,0,0,0,0,0,0,0
1527,0,0,0,0,0,0,0
1528,96%,3/10,89%,"390,605",4.3/5,307,13
1529,87%,8/10,90%,"1,210,158",4.3/5,307,47
1530,98%,3/10,95%,"1,304",4.7/5,112,2
1531,88%,6/10,85%,"33,323,891",3.6/5,126,18
1532,75%,7/10,93%,"45,065",4.3/5,91,31
1533,0,0,0,0,0,0,0
1534,97%,9/10,97%,"410,783",4.3/5,90,3
1535,91%,2/10,94%,"736,787",4.1/5,249,26
1536,88%,8/10,87%,"774,411",4/5,279,37
1537,91%,8/10,92%,"253,206",4.4/5,279,27
1538,0,0,0,0,0,0,0
1539,91%,3/10,91%,"1,069,586",3.6/5,112,11
1540,93%,9/10,90%,"90,900",4.3/5,350,26
1541,93%,7/10,86%,"34,679,279",3.7/5,252,18
1542,96%,7/10,95%,"845,930",4.1/5,85,4
1543,0,0,0,0,0,0,0
1544,95%,6/10,91%,"635,858",4.1/5,217,12
1545,97%,6/10,85%,"126,497",4.2/5,382,13
1546,84%,7/10,90%,"186,128",4.3/5,267,52
1547,91%,8/10,91%,"130,662",4.3/5,318,31
1548,96%,9/10,97%,"428,343",4.3/5,87,4
1549,,,87%,113,4.1/5,0,0
1550,30%,2/10,Average Rating:,591,N/A,6,14
1551,0,0,0,0,0,0,0
1552,25%,2/10,41%,"83,492",2.9/5,67,199
1553,60%,2/10,82%,"6,797",3.6/5,3,2
