,title_id,title,runtime,genre,certificate,imdb_rating,gross,year,votes,director_actor,metascore
2289,tt4575328,2036 Origin Unknown,['94'],"Action, Sci-Fi, Thriller",TV-14,4.5,,(2018),5423,"Director:
Hasraf Dulull
| 
    Stars:
Katee Sackhoff, 
Ray Fearon, 
Julie Cox, 
Steven Cree",
2290,tt2467046,Left Behind,['110'],"Action, Drama, Fantasy",PG-13,3.1,['14.00'],(I) (2014),32433,"Director:
Vic Armstrong
| 
    Stars:
Nicolas Cage, 
Lea Thompson, 
Cassi Thomson, 
Chad Michael Murray",
2291,tt1467304,The Human Centipede (First Sequence),['92'],Horror,R,4.4,['0.18'],(2009),66709,"Director:
Tom Six
| 
    Stars:
Dieter Laser, 
Ashley C. Williams, 
Ashlynn Yennie, 
Akihiro Kitamura",
2292,tt8478602,Gojira: hoshi wo kû mono,['91'],"Animation, Action, Adventure",,4.9,,(2018),1630,"Directors:
Hiroyuki Seshita, 
Kôbun Shizuno
| 
    Stars:
Mamoru Miyano, 
Takahiro Sakurai, 
Kana Hanazawa, 
Tomokazu Sugita",
2293,tt2386237,Malevolent,['89'],Horror,TV-MA,4.8,,(III) (2018),6234,"Director:
Olaf de Fleur Johannesson
| 
    Stars:
Florence Pugh, 
Ben Lloyd-Hughes, 
Scott Chambers, 
Georgina Bevan",
2294,tt4030600,The Bye Bye Man,['96'],"Drama, Fantasy, Horror",PG-13,4.3,['22.38'],(2017),16458,"Director:
Stacy Title
| 
    Stars:
Douglas Smith, 
Lucien Laviscount, 
Cressida Bonas, 
Michael Trucco",
2295,tt7608028,The Open House,['94'],"Horror, Thriller",TV-MA,3.3,,(2018),23243,"Directors:
Matt Angel, 
Suzanne Coote
| 
    Stars:
Dylan Minnette, 
Piercey Dalton, 
Patricia Bethune, 
Sharif Atkins",
2296,tt1564585,Skyline,['92'],"Action, Sci-Fi, Thriller",PG-13,4.4,['21.37'],(2010),83028,"Directors:
Colin Strause, 
Greg Strause
| 
    Stars:
Eric Balfour, 
Donald Faison, 
Scottie Thompson, 
Brittany Daniel",
2297,tt1213644,Disaster Movie,['87'],Comedy,PG-13,1.9,['14.19'],(2008),81766,"Directors:
Jason Friedberg, 
Aaron Seltzer
| 
    Stars:
Carmen Electra, 
Vanessa Lachey, 
Nicole Parker, 
Matt Lanter",
2298,tt3838992,Yoga Hosers,['88'],"Action, Comedy, Fantasy",PG-13,4.3,,(2016),10138,"Director:
Kevin Smith
| 
    Stars:
Lily-Rose Depp, 
Harley Quinn Smith, 
Johnny Depp, 
Adam Brody",
